age (compressions since the fact was read),"stage 1 (one-shot, driven incrementally)","stage 2 (rolling, threaded)",teacher (upper bound)
0,0.0540232790510696,0.4076081587149192,0.37558274389622354
1,0.05490090565564895,0.32229731415116253,0.3650729096430535
2,0.05720383022459345,0.33212331958611446,0.412475622825474
3,0.07313030009837979,0.24355143160690912,0.4907671726765308
4,0.07902815240382795,0.24155323312813942,0.5014568621443348
5,0.09168455359612601,0.19524101776778305,0.47847294568240956
6,0.08222514200775069,0.22420625287911403,0.4206646409924811
7,0.09639319014319013,0.2532467532467532,0.38105228105228106
8,0.08840275109505878,0.26873614122778,0.3591016768441518
9,0.06709401709401709,0.29468266775959084,0.3247342401188555
10,0.02793040293040293,0.2584665334665335,0.374009324009324
11,0.020604395604395604,0.21978021978021978,0.3946886446886447
