age (compressions since the fact was read),"stage 1 (one-shot, driven incrementally)","stage 2 (rolling, threaded)",teacher (upper bound)
0,0.05604755379590743,0.490295246458904,0.37558274389622354
1,0.06923016090136186,0.33652165356988584,0.3650729096430535
2,0.07058771267968333,0.3580403058638788,0.412475622825474
3,0.07218636852476039,0.3304345484333841,0.4907671726765308
4,0.07533929489156131,0.3234465427765491,0.5014568621443348
5,0.09078094558541601,0.27547227481029374,0.47847294568240956
6,0.08710353072204403,0.2961834079120194,0.4206646409924811
7,0.10131535131535131,0.3145791708291708,0.38105228105228106
8,0.10676413887116228,0.2980248940951282,0.3591016768441518
9,0.09815462315462316,0.328497997728767,0.3247342401188555
10,0.09781884781884782,0.3530802530802531,0.374009324009324
11,0.057692307692307696,0.25,0.3946886446886447
