age (compressions since the fact was read),"stage 1 (one-shot, driven incrementally)","stage 2 (rolling, threaded)",teacher (upper bound)
0,0.0540232790510696,0.39373312666987464,0.37558274389622354
1,0.055567128173970075,0.26705793321969085,0.3650729096430535
2,0.058056345143604526,0.27643574651334385,0.412475622825474
3,0.07422319627324316,0.30183768019339857,0.4907671726765308
4,0.07902815240382795,0.2945776065669926,0.5014568621443348
5,0.09168455359612601,0.2102714120765363,0.47847294568240956
6,0.08222514200775069,0.2214991471828779,0.4206646409924811
7,0.09639319014319013,0.24467199467199466,0.38105228105228106
8,0.08840275109505878,0.2648194596187907,0.3591016768441518
9,0.06709401709401709,0.27905214443675985,0.3247342401188555
10,0.02793040293040293,0.2613053613053613,0.374009324009324
11,0.020604395604395604,0.2857142857142857,0.3946886446886447
