doc_slug,target_words,actual_raw_words,n_chunks,n_questions,rag_recall,rag_avg_selected_words,rag_max_selected_words,rag_avg_selected_tokens_est,gist_total_words_mnt64,gist_total_tokens_est_mnt64,gist_total_words_mnt128,gist_total_tokens_est_mnt128,gist_total_words_mnt256,gist_total_tokens_est_mnt256
00950a36,1000,973,9,9,0.3333333333333333,267.77777777777777,350,348,262,341,438,569,657,854
00950a36,2000,1951,15,12,0.25,340.5,495,443,520,676,960,1248,1532,1992
00950a36,3000,2999,23,13,0.15384615384615385,352.7692307692308,864,459,864,1123,1656,2153,2658,3455
00950a36,6000,5966,44,14,0.14285714285714285,541.3571428571429,1151,704,1767,2297,3483,4528,4868,6328
00950a36,10000,9886,72,14,0.14285714285714285,710.9285714285714,1413,924,2965,3854,5907,7679,8960,11648
3e966645,1000,1000,11,4,0.5,220.25,261,286,366,476,666,866,1018,1323
3e966645,2000,1876,18,4,0.25,207.25,261,269,690,897,1233,1603,1893,2461
3e966645,3000,2858,25,7,0.14285714285714285,307.2857142857143,629,399,996,1295,1800,2340,2768,3598
3e966645,6000,5998,48,8,0.125,448.375,668,583,1968,2558,3588,4664,5547,7211
3e966645,10000,9803,78,18,0.16666666666666666,489.5,1024,636,3192,4150,6093,7921,10124,13161
6a659de3,1000,948,15,4,0.5,207.0,282,269,376,489,677,880,1228,1596
6a659de3,2000,1944,23,11,0.2727272727272727,267.09090909090907,567,347,704,915,1349,1754,2394,3112
6a659de3,3000,2916,32,11,0.2727272727272727,374.72727272727275,794,487,1073,1395,2105,2736,3879,5043
6a659de3,6000,5993,56,11,0.0,291.54545454545456,483,379,1949,2534,4121,5357,8106,10538
6a659de3,10000,9875,89,11,0.0,503.8181818181818,848,655,3191,4148,6763,8792,13903,18074
9561a72a,1000,994,43,4,0.75,145.75,171,189,1484,1929,3817,4962,7953,10339
9561a72a,2000,1984,49,6,0.6666666666666666,299.1666666666667,433,389,1688,2194,4351,5656,8966,11656
9561a72a,3000,2914,55,7,0.42857142857142855,569.0,894,740,1908,2480,4885,6350,9972,12964
9561a72a,6000,5992,76,8,0.25,903.75,1643,1175,2885,3750,6978,9071,13776,17909
9561a72a,10000,9990,104,9,0.3333333333333333,1108.2222222222222,1541,1441,4217,5482,9876,12839,18348,23852
bf55d1c1,1000,829,9,6,0.5,228.66666666666666,329,297,417,542,783,1018,1226,1594
bf55d1c1,2000,1982,18,6,0.5,319.6666666666667,763,416,820,1066,1593,2071,2740,3562
bf55d1c1,3000,2962,25,6,0.3333333333333333,266.6666666666667,461,347,1128,1466,2223,2890,3938,5119
bf55d1c1,6000,5979,48,6,0.16666666666666666,281.3333333333333,630,366,2161,2809,4275,5558,8211,10674
bf55d1c1,10000,9543,75,11,0.18181818181818182,484.8181818181818,1052,630,3377,4390,6678,8681,12608,16390
ca4b98f5,1000,971,10,1,1.0,491.0,491,638,344,447,633,823,1183,1538
ca4b98f5,2000,1968,18,2,0.5,572.0,653,744,589,766,1063,1382,2123,2760
ca4b98f5,3000,3000,24,6,0.5,562.6666666666666,1160,731,787,1023,1397,1816,3158,4105
ca4b98f5,6000,5671,45,9,0.3333333333333333,548.7777777777778,1596,713,1574,2046,3163,4112,6255,8132
ca4b98f5,10000,9929,80,16,0.0625,516.125,1715,671,2959,3847,6119,7955,12525,16282
