genre,question_id,n_seams,severity_sum,severity_mean,severity_max
novel,00950a36_1,8,4.091608273411671,0.5114510341764589,0.7031069742095749
novel,00950a36_5,3,1.7623736117934174,0.5874578705978059,0.7919293774278053
novel,00950a36_2,21,8.913968380634607,0.4244746847921241,0.7029546212010307
novel,00950a36_0,24,10.805095326907338,0.4502123052878057,0.6429706761997724
novel,00950a36_6,3,1.6345667559362766,0.5448555853120922,0.6437534640210051
novel,00950a36_9,7,2.332264132531678,0.3331805903616683,0.4442778656692151
novel,00950a36_7,10,4.143467895618791,0.4143467895618791,0.6371888401595551
novel,00950a36_8,9,5.3763743998461555,0.5973749333162395,0.7471173072227116
novel,00950a36_10,22,9.972253565084593,0.4532842529583905,0.624571316654208
novel,00950a36_11,10,4.665756944728563,0.4665756944728563,0.7022048810867132
novel,00950a36_12,21,9.04787134410595,0.4308510163859976,0.8434693728111122
novel,00950a36_13,16,6.5498900739090296,0.4093681296193143,0.6371888401595551
novel,3e966645_1,6,3.0210888420033264,0.5035148070005544,0.6255821593665928
novel,00950a36_15,12,5.267208174260063,0.4389340145216719,0.5887381192653869
novel,3e966645_2,13,7.531485928823628,0.5793450714479713,0.7761647449894826
novel,00950a36_14,9,4.422734826517663,0.4914149807241848,0.6371888401595551
novel,3e966645_7,2,1.0643525626019137,0.5321762813009567,0.6351061741521149
novel,3e966645_6,43,20.739706937631677,0.4823187659914343,0.869851155677791
novel,3e966645_5,4,2.591482918608527,0.6478707296521318,0.7754727302164718
novel,3e966645_4,7,3.755467380498099,0.5364953400711571,0.7344999598364503
novel,3e966645_11,4,2.2849999094263778,0.5712499773565944,0.6774022096172201
novel,3e966645_10,4,2.2849999094263778,0.5712499773565944,0.6774022096172201
novel,3e966645_9,2,1.190202118031268,0.595101059015634,0.6774022096172201
novel,3e966645_8,7,3.415621120489198,0.4879458743555997,0.6255821593665928
novel,3e966645_16,0,0.0,0.0,0.0
novel,3e966645_17,4,2.240487930313572,0.560121982578393,0.6306610172026088
novel,3e966645_19,7,3.4206999783252137,0.4886714254750305,0.6306610172026088
novel,3e966645_12,6,3.0255947435450556,0.5042657905908426,0.6255821593665928
novel,3e966645_23,2,1.1434609256166568,0.5717304628083284,0.6306610172026088
novel,3e966645_22,2,1.7010866952767674,0.8505433476383837,0.8606406489430376
novel,3e966645_20,0,0.0,0.0,0.0
novel,3e966645_21,6,3.386664482959782,0.564444080493297,0.7022048810867132
novel,6a659de3_2,5,2.756409086662735,0.551281817332547,0.6825668499038406
